0,187
1,206
2,194
3,190
4,207
5,199
6,210
7,207
8,204
9,160
10,199
11,201
12,193
13,203
14,209
15,195
16,202
17,178
18,215
19,227
20,175
21,216
22,220
23,196
24,208
25,196
26,208
27,209
28,200
29,183
30,174
31,188
32,219
33,198
34,190
35,197
36,192
37,186
38,172
39,199
40,204
41,200
42,200
43,207
44,190
45,196
46,203
47,181
48,197
49,207
50,193
51,217
52,192
53,193
54,185
55,184
56,207
57,176
58,193
59,204
60,218
61,205
62,221
63,201
64,166
65,209
66,213
67,208
68,186
69,202
70,194
71,202
72,206
73,184
74,168
75,199
76,224
77,200
78,207
79,176
80,212
81,205
82,191
83,174
84,203
85,216
86,202
87,179
88,191
89,213
90,203
91,198
92,168
93,197
94,195
95,214
96,168
97,203
98,198
99,239
100,201
