0,63
1,74
2,90
3,83
4,95
5,92
6,108
7,121
8,137
9,133
10,158
11,182
12,177
13,199
14,184
15,195
16,199
17,215
18,238
19,223
20,267
21,243
22,297
23,291
24,294
25,301
26,308
27,319
28,293
29,281
30,317
31,314
32,327
33,308
34,316
35,341
36,332
37,314
38,355
39,316
40,314
41,340
42,313
43,327
44,334
45,314
46,317
47,320
48,297
49,301
50,334
51,291
52,317
53,263
54,259
55,257
56,267
57,264
58,257
59,228
60,230
61,239
62,241
63,214
64,212
65,177
66,188
67,165
68,195
69,172
70,153
71,170
72,168
73,134
74,145
75,152
76,124
77,129
78,109
79,134
80,102
81,96
82,87
83,93
84,88
85,88
86,87
87,59
88,78
89,74
90,59
91,67
92,68
93,60
94,54
95,82
96,62
97,52
98,57
99,61
100,61
