0,84
1,354
2,436
3,423
4,167
5,215
6,139
7,234
8,308
9,91
10,249
11,135
12,260
13,232
14,164
15,218
16,139
17,204
18,326
19,211
20,79
21,182
22,147
23,164
24,287
25,657
26,272
27,180
28,226
29,275
30,200
31,582
32,172
33,709
34,129
35,204
36,183
37,121
38,192
39,265
40,263
41,301
42,272
43,223
44,159
45,166
46,117
47,207
48,135
49,257
50,155
51,199
52,212
53,144
54,145
55,157
56,162
57,98
58,303
59,188
60,302
61,181
62,132
63,237
64,109
65,201
66,136
67,143
68,127
69,146
70,96
71,224
72,134
73,121
74,211
75,134
76,266
77,112
78,90
79,130
80,159
81,154
82,108
83,146
84,105
85,134
86,134
87,296
88,95
89,89
90,91
91,153
92,169
93,85
94,79
95,348
96,111
97,239
98,111
99,135
100,149
