0,60
1,68
2,72
3,60
4,70
5,58
6,65
7,63
8,63
9,59
10,55
11,66
12,63
13,68
14,68
15,64
16,74
17,60
18,69
19,59
20,59
21,65
22,65
23,70
24,67
25,77
26,63
27,70
28,66
29,69
30,65
31,69
32,62
33,13393
34,69
35,62
36,62
37,62
38,77
39,82
40,65
41,67
42,62
43,81
44,74
45,71
46,64
47,58
48,65
49,78
50,60
51,56
52,70
53,49
54,58
55,64
56,75
57,68
58,66
59,74
60,66
61,71
62,59
63,62
64,64
65,75
66,62
67,64
68,66
69,69
70,52
71,63
72,75
73,59
74,70
75,76
76,64
77,74
78,70
79,70
80,74
81,62
82,61
83,79
84,70
85,72
86,66
87,64
88,81
89,58
90,64
91,55
92,64
93,66
94,78
95,59
96,53
97,48
98,78
99,64
100,70
