0,193
1,201
2,189
3,201
4,213
5,206
6,204
7,204
8,200
9,194
10,202
11,192
12,178
13,199
14,204
15,235
16,194
17,184
18,196
19,179
20,195
21,218
22,174
23,202
24,190
25,201
26,193
27,166
28,206
29,170
30,216
31,200
32,192
33,189
34,212
35,188
36,231
37,209
38,192
39,167
40,191
41,202
42,206
43,186
44,210
45,218
46,191
47,179
48,186
49,214
50,194
51,180
52,205
53,200
54,208
55,200
56,187
57,209
58,217
59,197
60,211
61,198
62,186
63,190
64,228
65,198
66,194
67,203
68,231
69,213
70,209
71,203
72,186
73,188
74,208
75,228
76,213
77,243
78,207
79,202
80,203
81,178
82,192
83,178
84,191
85,172
86,196
87,197
88,198
89,172
90,193
91,222
92,176
93,173
94,213
95,186
96,169
97,197
98,190
99,203
100,203
