0,205
1,218
2,198
3,192
4,196
5,200
6,169
7,207
8,194
9,212
10,191
11,172
12,223
13,197
14,196
15,203
16,214
17,201
18,212
19,189
20,194
21,170
22,205
23,186
24,200
25,203
26,191
27,231
28,215
29,203
30,188
31,203
32,211
33,196
34,226
35,188
36,187
37,218
38,212
39,211
40,200
41,216
42,179
43,203
44,185
45,193
46,202
47,196
48,167
49,206
50,185
51,212
52,218
53,194
54,212
55,200
56,172
57,173
58,198
59,218
60,192
61,193
62,213
63,198
64,186
65,221
66,189
67,195
68,220
69,193
70,193
71,197
72,189
73,184
74,208
75,208
76,181
77,206
78,223
79,167
80,190
81,171
82,190
83,195
84,183
85,193
86,205
87,193
88,207
89,207
90,185
91,200
92,181
93,204
94,182
95,197
96,195
97,213
98,198
99,198
100,201
